,url,comment,page_file
32888,/comment/32888,"I do not agree with the fact that in this proposal, a hunter can get a moose license and not pay for the Tag Allocation Process and will still be able to hunt in a group. You cannot hunt any animal without paying some sort of fee. We need to continue to produce revenue, and if someone isn’t willing to pay the small fee for the Tag Allocation they should not be able to hunt, they did not put in their part.
",comments-0.json
32890,/comment/32890,"It would be great if:
- hunters could see how many points they have online.
- for each WMU, a list was published with the minimum number of points for a guaranteed tag similar to how group size vs draw results is published today.
- hunters could earn points by doing conservation work but NOT by donating $ to a conservation org
I see there being a problem if hunters were allowed to transfer points to another hunter. Could lead to a black market on moose points for $.
Thanks.
",comments-0.json
32891,/comment/32891,"While I support the vast majority of the proposed changes I am extremely unsupportive of the proposal to limit party hunting to a maximum of 10 hunters per tag. I belong to a hunting camp with 18 members. If we only manage to draw one tag almost half of the members will not be able to participate in the hunt. If the tags are allocated based on science I believe it completely unfair to limit the number of people able to hunt for that animal. If the intent is to reduce harvest reduce the number of tags given out not the number of people able to hunt in the party.
",comments-0.json
32893,/comment/32893,"The moose point system would be a huge improvement for populations and outdoorsmen.
Adding more bow hunts will only continue to add pressure to animals. These animals are already under pressure, why do we add more hunting time?
Much like deer, pressured from the start of fall until the end of December. No time to rest easy before the hard winters.
One week bow or gun your choice, everyone wears orange. Make it simple, and better for the animals in the long run. A small percentage bow hunt only , why do they sway the majority ? A hunter is a hunter whether you choose a rifle or bow.
Improve predatory mitigation. We need to be Abel to shoot coyotes/wolves and spring bear hunt. Coyotes or the hy-brid version is devastating areas and out of control.
We could also look into Aboriginal hunting practices but they would be an entirely whole other ball game. I witnessed the waste on a fly in trip up near Landsdowne House. If my phone had batteries I would have posted it on CTV news it was disgraceful. Not to forget all the trucks and tractors in the lake we could see when flying in for landing.
Thanks for the opportunity
",comments-0.json
32895,/comment/32895,"Quit handing out 80000 calf tags every year.  Propose no calf season or apply for calf as done in other WMU. GROUP SIZES FOR A TAG. make tags available for groups/guaranteed group sizes. People are tired of others bragging they apply with 15or so members in  their hunt party apply as individuals and receiving 2-3 tags for their party hunt. Our group applies as a large group size 7-12 members depending on the years the guys can hunt. We apply this way and receive 1 tag. Wouldn’t be very fair to other guys if we all applied solo and had 2-3 tags. Thanks for listening hope my recommendation is heard/considered.
",comments-0.json
32896,/comment/32896,"Really , I didn’t think you could make it more
Complicated than it is now ,congrats you
Did it , make it more complicated so more people quit hunting. Make it simple shorten gun season to one week, make more tags available for bow & muzzeloader season.
To simple I suppose. Thanks to give us the
Opportunity to respond
",comments-0.json
32897,/comment/32897,"The game is simple !! First and foremost MNR needs to get rid of calf tags!! Period! Second we are all human and if your hunting with a cow tag and you harvest a calf it should be determined an antlerless tag instead of a cow tag for those  Misshaps  that can happen! Third there needs to be a minimum bull size like other provinces and territories and States have in their regulations! There’s no point in shooting all the 1.5 year old moose if you want the numbers to grow! 3 points on the fronts of the antler because judging the bulls rack width just isn’t accurate enough! You can put more tags in circulation for the draw and with new refs on bull size it will just help manage everything better!  And lastly poaching is poaching no matter your indigenous status the wasteful shooting and not recovering animals is sickening we are all in this together and with proper management from everyone the moose will thrive and I bet the numbers will increase a lot inside of a decade !!
",comments-0.json
32900,/comment/32900,"I have read the proposal on changes to the Moose Hunt for 2020 and 2021. I agree with the majority of the suggestions for tag allocation and archery opportunities. My only concern is limiting the size of party hunting to 10. We have a long standing camp with 14 to 16 hunters annually. It would be hard to only allow 10 to hunt if we were only allotted one tag. We have not had a tag in 6 years so we have been party hunting for Calves . .
If we have Bull, Cow/calf and calf tag allocations in 2021 I'm assuming that if we had  two of any type of tag we could have 10 people per tag maximum party hunt that tag?  Just wondering how that part would work.
",comments-0.json
32911,/comment/32911,"Re: Party Hunting
Perhaps consider eliminating the ""group hunt"" and impliment a policy that states that only hunters actually accompanying (arms lenght)  of the tag holder may actively hunt under  said tag.  Limit the number of accompanying hunters to two.
Under the proposed changes, putting up to 10 hunters in an area to harvest only 1 moose seems only to be asking for problems, legally as well as hunting ethics- why should a group of up to 10 hunters be able to stake out an area or areas when only only hunter has a valid harvest tag or 20 hunters if there happens to be 2 valid tags......
",comments-0.json
32912,/comment/32912,"Hi, i think the surplus tag shouldn’t be counted as getting a tag and resetting the point count.
I took a surplus tag a few years back because it didn’t move me to pool 2.  If i would have know that the surplus would affect my points, never i would’ve gotten one.
Only getting a tag from the draw or transfer should reset the point count.
",comments-0.json
